Part,Value,Device,Package,Description
BATTERY,,PINHD-1X3,1X03,PIN HEADER
C1,10uF,C-USC0805,C0805,CAPACITOR
C2,10uF,C-USC0805,C0805,CAPACITOR
C3,10uF,C-USC0805,C0805,CAPACITOR
C4,10uF,C-USC0805,C0805,CAPACITOR
C5,10uF,C-USC0805,C0805,CAPACITOR
C6,10uF,C-USC0805,C0805,CAPACITOR
C7,4.7uF,C-USC0805,C0805,CAPACITOR
C8,4.7uF,C-USC0805,C0805,CAPACITOR
C9,10uF,C-USC0805,C0805,CAPACITOR
C10,10uF,C-USC0805,C0805,CAPACITOR
C11,4.7uF,C-USC0805,C0805,CAPACITOR
C12,4.7uF,C-USC0805,C0805,CAPACITOR
C13,4.7uF,C-USC0805,C0805,CAPACITOR
C14,1uF,C-USC0805,C0805,CAPACITOR
C15,1uF,C-USC0805,C0805,CAPACITOR
C16,1uF,C-USC0805,C0805,CAPACITOR
L1, 10UH ,ELL6SH100M-6XH,IND_ELL6XH,Choke Coils
L2, 10UH ,ELL6SH100M-6XH,IND_ELL6XH,Choke Coils
L3, 10UH ,ELL6SH100M-6XH,IND_ELL6XH,Choke Coils
L4, 2.2UH ,ELL3FU2R2N-3FU,IND_ELL3FU,Choke Coils
R1,470k,R-US_R0805,R0805,RESISTOR
R2,470k,R-US_R0805,R0805,RESISTOR
R3,35.7k,R-US_R0805,R0805,RESISTOR
R4,35.7k,R-US_R0805,R0805,RESISTOR
R5,35.7k,R-US_R0805,R0805,RESISTOR
R6,35.7k,R-US_R0805,R0805,RESISTOR
R9,15k,R-US_R0805,R0805,RESISTOR
R10,4.7k,R-US_R0805,R0805,RESISTOR
R11,15k,R-US_R0805,R0805,RESISTOR
R12,4.7k,R-US_R0805,R0805,RESISTOR
R13,4.7k,R-US_R0805,R0805,RESISTOR
R14,15k,R-US_R0805,R0805,RESISTOR
R15,466k,R-US_R0805,R0805,RESISTOR
R16,466k,R-US_R0805,R0805,RESISTOR
R17,466k,R-US_R0805,R0805,RESISTOR
R18,487,R-US_R0805,R0805,RESISTOR
R19,,R-US_R0805,R0805,RESISTOR
SJ1,,SJ,SJ,SMD solder JUMPER
SJ2,,SJ,SJ,SMD solder JUMPER
SOLAR_PANELS,,PINHD-1X12-CB,1X12-CB,PIN HEADER
SWITCH,332-02,332-02,332-02,2 Pin - 2mm Dual Row
U$1,MCP130T-315I/TT,MCP130T-315I/TT,SOT95P237X112-3N,Microcontroller Supervisory Circuit
U$2,FX8C-060S-SV(92),FX8C-060S-SV(92),FX8C-060S-SV(92),
U$3,FX8C-060P-SV(92),FX8C-060P-SV(92),FX8C-060P-SV(92),
U1,LTC3105EDDPBF,LTC3105EDDPBF,DFN300X300X80-11N,400mA Step-Up DC/DC Converter with Maximum Power Point Control and 250mV Start-Up
U2,LTC3105EDDPBF,LTC3105EDDPBF,DFN300X300X80-11N,400mA Step-Up DC/DC Converter with Maximum Power Point Control and 250mV Start-Up
U3,LTC3105EDDPBF,LTC3105EDDPBF,DFN300X300X80-11N,400mA Step-Up DC/DC Converter with Maximum Power Point Control and 250mV Start-Up
U4,LTC4413EDDPBF,LTC4413EDDPBF,DFN300X300X80-11N,Dual 2.6A
U5,LTC4413EDDPBF,LTC4413EDDPBF,DFN300X300X80-11N,Dual 2.6A
U6,TPS63001DRCR,TPS63001DRCR,SON50P300X300X100-11N,HIGH EFFICIENT SINGLE INDUCTOR BUCK-BOOST CONVERTER WITH 1.8-A SWITCHES
U7,TPS2552DBVT,TPS2552DBVT,SOT95P280X145-6N,PRECISION ADJUSTABLE CURRENT-LIMITED POWER-DISTRIBUTION SWITCHES
U8,TPS2552DBVT,TPS2552DBVT,SOT95P280X145-6N,PRECISION ADJUSTABLE CURRENT-LIMITED POWER-DISTRIBUTION SWITCHES
U9,BQ24210DQCT,BQ24210DQCT,SON50P200X300X80-11N,Single Cell Li-Ion Battery Solar Charger
